Attraction,City
Paris Ultimate Food Tour,"Paris, France"
Musée d’Orsay Orsay Museum Tour - Semi-Private 8ppl Max Reserved Entry Included!,"Paris, France"
Somme Battlefields from Paris with Australian memorial & Amiens Cathedral,"Paris, France"
Louvre Museum Guided Tour Options with Entry Ticket,"Paris, France"
Big Bus Paris Open Top Night Tour,"Paris, France"
Normandy D-Day Beaches and American Cemetery Day Trip from Paris,"Paris, France"
Paris Seine River Sightseeing Cruise with Commentary by Bateaux Parisiens,"Paris, France"
The only Paris Wine Tasting experience you need to do - 2 hours,"Paris, France"
Disneyland® Paris Entrance Ticket,"Paris, France"
Macaron Bakery Class at Galeries Lafayette Paris,"Paris, France"
Paris Private Guided Tour in a Vintage Car with Driver,"Paris, France"
Versailles Timed Entrance Ticket and Giverny Small Group Day Trip from Paris,"Paris, France"
Versailles Palace and Giverny Monet House Guided Visit with Lunch from Paris,"Paris, France"
Paris Crazy Horse Cabaret Show,"Paris, France"
Eiffel Tower Skip the Line Ticket with Audio Guide Tour,"Paris, France"
Paris Croissant Small-Group Baking Class with a Chef,"Paris, France"
Louvre Museum Masterpieces Skip-the-Line and Small-Group Tour,"Paris, France"
Eiffel Tower Access to 2nd Floor with Summit and Cruise Options,"Paris, France"
Paris Seine River Champagne Tasting Cruise,"Paris, France"
French Wine and Champagne Tasting in Paris,"Paris, France"
Paris Notre Dame Cathedral Outdoor Walking Tour with Crypt Entry,"Paris, France"
Versailles Domain Day Bike Tour with Trianon Estate from Paris,"Paris, France"
Mont Saint Michel Guided Day Trip with Abbey Entry from Paris,"Paris, France"
Louvre Museum Small-Group and Skip-the-Line English Guided Tour,"Paris, France"
Versailles Palace Private Half Day Guided Tour including Hotel Pickup from Paris,"Paris, France"
Eiffel Tower Guided Climb Tour by Stairs,"Paris, France"
"Versailles Palace, Gardens and Trianon Estate Entry Ticket","Paris, France"
Paris Sightseeing Guided Bike Tour Like a Parisian with a Local Guide,"Paris, France"
Paris Macarons Small-Group Baking Class with a Chef,"Paris, France"
French wine and cheese tasting in Paris,"Paris, France"
Paris Charles de Gaulle Private Airport Arrival Transfer,"Paris, France"
